"x_fb","z_fbU","z_fbL","w_fb","x_sb","z_sbU","z_sbL","w_sb","x_sb2","z_sbU2","z_sbL2","w_sb2"
0.0038435,0.0115305,-0.0115305,0.007687,1.222233,0.0276732,0.023061,0.0092244,1.7718535,0.0138366,0,0.0184488
0.0653395,0.084557,-0.084557,0.125554333333333,1.245294,0.0399724,-0.0030748,0.0368976,1.8026015,0.0276732,-0.0199862,0.0568838
0.192175,0.151177666666667,-0.151177666666667,0.222923,1.299103,0.0476594,-0.0215236,0.0599586,1.852567,0.0322854,-0.0399724,0.0799448
0.3190105,0.204986666666667,-0.204986666666667,0.310042333333333,1.352912,0.0507342,-0.0322854,0.0722578,1.9102195,0.030748,-0.0507342,0.0799448
0.438159,0.244702833333333,-0.244702833333333,0.379225333333333,1.406721,0.0507342,-0.038435,0.07687,1.960185,0.0276732,-0.0584212,0.0784074
0.5496205,0.269045,-0.269045,0.435596666666667,1.4643735,0.0491968,-0.0430472,0.07687,2.0178375,0.0292106,-0.0568838,0.07687
0.6726125,0.2882625,-0.2882625,0.468907,1.522026,0.0445846,-0.046122,0.0799448,2.07549,0.030748,-0.0568838,0.0799448
0.7879175,0.30748,-0.30748,0.489405666666667,1.575835,0.038435,-0.0476594,0.07687,2.129299,0.0322854,-0.0584212,0.084557
0.914753,0.327978666666667,-0.327978666666667,0.502217333333333,1.629644,0.0276732,-0.0430472,0.0676456,2.183108,0.0292106,-0.0630334,0.0830196
1.0339015,0.3420715,-0.3420715,0.509904333333333,1.6796095,0.0169114,-0.0292106,0.0415098,2.244604,0.023061,-0.0722578,0.0799448
1.1645805,0.347196166666667,-0.347196166666667,0.522716,1.698827,0.0046122,-0.0092244,0.0046122,2.2945695,0.0107618,-0.0830196,0.0799448
1.2798855,0.348477333333333,-0.348477333333333,0.53809,,,,,2.359909,-0.0015374,-0.0907066,0.0814822
1.391347,0.3497585,-0.3497585,0.550901666666667,,,,,2.4098745,-0.015374,-0.1014684,0.084557
1.514339,0.354883166666667,-0.354883166666667,0.558588666666667,,,,,2.4559965,-0.030748,-0.1122302,0.0814822
1.660392,0.356164333333333,-0.356164333333333,0.558588666666667,,,,,2.521336,-0.0491968,-0.130679,0.0830196
1.760323,0.353602,-0.353602,0.553464,,,,,2.5713015,-0.0737952,-0.1414408,0.0830196
1.8717845,0.3497585,-0.3497585,0.543214666666667,,,,,2.621267,-0.0983936,-0.1445156,0.061496
1.99862,0.3420715,-0.3420715,0.530403,,,,,2.6481715,-0.1245294,-0.138366,0.0138366
2.113925,0.3343845,-0.3343845,0.515029,,,,,,,,
2.236917,0.322854,-0.322854,0.502217333333333,,,,,,,,
2.352222,0.3113235,-0.3113235,0.494530333333333,,,,,,,,
2.4636835,0.302355333333333,-0.302355333333333,0.484281,,,,,,,,
2.5866755,0.292106,-0.292106,0.46122,,,,,,,,
2.721198,0.281856666666667,-0.281856666666667,0.433034333333333,,,,,,,,
2.828816,0.271607333333333,-0.271607333333333,0.407411,,,,,,,,
2.959495,0.261358,-0.261358,0.381787666666667,,,,,,,,
3.0748,0.252389833333333,-0.252389833333333,0.361289,,,,,,,,
3.2016355,0.240859333333333,-0.240859333333333,0.343352666666667,,,,,,,,
3.313097,0.228047666666667,-0.228047666666667,0.340790333333333,,,,,,,,
3.4399325,0.215236,-0.215236,0.340790333333333,,,,,,,,
3.559081,0.201143166666667,-0.201143166666667,0.340790333333333,,,,,,,,
3.674386,0.190893833333333,-0.190893833333333,0.322854,,,,,,,,
3.8012215,0.181925666666667,-0.181925666666667,0.284419,,,,,,,,
3.92037,0.170395166666667,-0.170395166666667,0.243421666666667,,,,,,,,
4.0395185,0.1575835,-0.1575835,0.215236,,,,,,,,
4.1548235,0.148615333333333,-0.148615333333333,0.207549,,,,,,,,
4.2701285,0.1422095,-0.1422095,0.207549,,,,,,,,
4.3700595,0.112742666666667,-0.112742666666667,0.163989333333333,,,,,,,,
4.427712,0.0666206666666667,-0.0666206666666667,0.102493333333333,,,,,,,,
4.481521,0.007687,-0.007687,0.023061,,,,,,,,
